"CellType","Upregulated","Downregulated","Total_DEGs"
"aPT",511,549,1060
"CNT",395,466,861
"PT",328,375,703
"PC",213,379,592
"C_TAL",194,247,441
"EC_PTC",193,223,416
"CCD_IC_A",85,115,200
"dC_IC_A",88,73,161
"VSMC_P",29,111,140
"DC",42,93,135
"DCT",43,46,89
"dVSMC",28,35,63
"EC_GC",21,22,43
"IC_B",20,19,39
"Non_classical_monocytes",14,21,35
"EC_AEA",17,13,30
"Podocytes",13,7,20
"EC_DVR",2,14,16
"NK_cells",0,3,3
