"CellType","Upregulated","Downregulated","Total_DEGs"
"PC",295,402,697
"aPT",249,202,451
"CCD_IC_A",163,224,387
"C_TAL",99,81,180
"VSMC_P",56,120,176
"CNT",76,85,161
"DCT",28,83,111
"EC_PTC",29,52,81
"IC_B",25,16,41
"EC_DVR",7,33,40
"PT",13,22,35
"EC_GC",3,14,17
"DC",0,4,4
"dC_IC_A",1,2,3
