group,names,scores,logfoldchanges,pvals,pvals_adj
IC-B_Normal Reference,TMEM255A,3.690818,6.08772,0.00022353402550421368,0.005194340522425864
IC-B_Normal Reference,HPSE,3.4566915,4.095633,0.000546850405323929,0.01135212039659273
IC-B_Normal Reference,IZUMO4,3.2144659,3.4269938,0.001306874571920999,0.023998046384498255
M-TAL_Hypertensive CKD (H-CKD),LGR5,2.9005237,6.8384986,0.0037253961292060675,0.03932094654435297
M-TAL_Hypertensive CKD (H-CKD),WNT11,2.940017,5.3521767,0.0032819438102571173,0.0351910306809488
NK cells_Acute Kidney Injury (AKI),IL18RAP,3.0818496,7.4835644,0.0020571871923069154,0.01941595099641638
NK cells_Acute Kidney Injury (AKI),CD244,2.890516,6.0955596,0.0038460976208707126,0.032239875474598854
NK cells_Acute Kidney Injury (AKI),FCMR,2.992486,5.418102,0.002767154283331284,0.024680629443512722
NK cells_Diabetic Kidney Disease (DKD),PTPRCAP,4.7888255,7.053471,1.677601678313896e-06,9.345427531213269e-05
NK cells_Normal Reference,SYTL3,5.0096583,6.592455,5.452674544441197e-07,8.201318212525418e-05
Non-classical monocytes_Acute Kidney Injury (AKI),CASP5,3.2255006,7.3884497,0.0012575256952085086,0.008654643355750738
Non-classical monocytes_Diabetic Kidney Disease (DKD),S100Z,3.004376,5.4747887,0.0026612624314293347,0.020262580270592887
Non-classical monocytes_Diabetic Kidney Disease (DKD),CD300C,3.1235685,5.3196125,0.0017867226677305828,0.01439207718481134
Non-classical monocytes_Diabetic Kidney Disease (DKD),CBFA2T3,3.3910089,4.3091702,0.0006963583523997291,0.006244579371519522
Non-classical monocytes_Normal Reference,FPR2,3.2849736,6.975796,0.0010199191710942128,0.02073042098986947
Non-classical monocytes_Normal Reference,KIAA0513,4.1040573,4.4648824,4.0596721284616644e-05,0.001198920456850874
PC_Acute Kidney Injury (AKI),PLEKHG4B,2.5343125,3.1464396,0.011266824470864481,0.04990886502555632
PC_Acute Kidney Injury (AKI),COL22A1,3.896208,2.768256,9.771042954973527e-05,0.0006926388418596273
PC_Acute Kidney Injury (AKI),OCRL,2.6180475,0.8649482,0.008843447424142177,0.04024060440935982
PC_Diabetic Kidney Disease (DKD),NPAP1,9.640867,4.6561303,5.37319235258887e-22,6.760415777458773e-21
PC_Diabetic Kidney Disease (DKD),ADAM23,6.576173,4.6550665,4.827116544514468e-11,3.175532533955939e-10
PC_Diabetic Kidney Disease (DKD),BNIPL,6.1956086,4.575855,5.806022391729923e-10,3.5187047791637937e-09
PC_Hypertensive CKD (H-CKD),SLC14A2,3.9640365,4.6337605,7.369298579371237e-05,0.001125808356377628
PC_Hypertensive CKD (H-CKD),KCNJ5,3.1011765,3.1396205,0.0019275336328099094,0.02004609149901894
PC_Hypertensive CKD (H-CKD),ZNF320,2.951984,2.3013356,0.0031573943972186764,0.030710811465010583
PC_Normal Reference,BANP,2.7749813,1.8395653,0.005520487501350517,0.04448926727220862
PT_Acute Kidney Injury (AKI),BPI,4.1515007,5.2523136,3.3030228008461064e-05,0.00012816255215759577
PT_Acute Kidney Injury (AKI),NEU4,2.6789532,3.9998422,0.007385271984267069,0.018894282508071538
PT_Acute Kidney Injury (AKI),TUBA4B,3.1280653,3.2884638,0.0017596103143123591,0.005131809034073326
PT_Diabetic Kidney Disease (DKD),CPNE6,6.573877,5.853492,4.902184001350717e-11,3.4381786478316076e-10
PT_Diabetic Kidney Disease (DKD),PRSS3,5.2294683,3.8246434,1.6999821298150968e-07,8.819756769454617e-07
PT_Diabetic Kidney Disease (DKD),MUC13,2.7889953,3.270521,0.005287184617131303,0.014557575218911201
PT_Normal Reference,IP6K3,3.1801076,4.8391004,0.001472203415220095,0.00679810368540789
PT_Normal Reference,KCNH6,2.8776538,4.822517,0.004006445058031205,0.016659118744691198
PT_Normal Reference,TRIM63,3.2029598,4.1033654,0.001360229256979519,0.006350167341062681
Podocytes_Acute Kidney Injury (AKI),CFAP45,4.8149652,8.463566,1.4722562588433661e-06,0.0001250148186976791
Podocytes_Normal Reference,FAM180A,4.312904,10.350914,1.6112434404637473e-05,0.00044430037870787833
Podocytes_Normal Reference,TENM2,6.336382,8.430381,2.3522313146750963e-10,1.4413950778259063e-08
Podocytes_Normal Reference,TRIM54,5.1805,7.1157656,2.21291912215301e-07,8.397419008261824e-06
T cells_Acute Kidney Injury (AKI),SIRPG,3.1204407,7.745612,0.0018058069205274714,0.010739423256695548
T cells_Acute Kidney Injury (AKI),CD40LG,3.4239979,7.2449646,0.0006170709428699144,0.004196234586840417
T cells_Acute Kidney Injury (AKI),SLA2,2.9082005,7.086621,0.003635150920343045,0.019842814905006823
VSMC/P_Acute Kidney Injury (AKI),MOXD1,3.2236102,4.557795,0.0012658557028794397,0.01231251181901254
VSMC/P_Acute Kidney Injury (AKI),ITGA11,2.81887,4.4167256,0.004819301299602718,0.03833429807784951
VSMC/P_Diabetic Kidney Disease (DKD),MUSTN1,10.064087,7.8716955,7.96230051894373e-24,6.457659906172745e-22
VSMC/P_Diabetic Kidney Disease (DKD),GRID2,4.7170625,6.5180507,2.392745103748035e-06,4.0686503331460674e-05
VSMC/P_Diabetic Kidney Disease (DKD),SEPTIN4,4.580525,6.0916934,4.63810425835525e-06,7.523277936714473e-05
VSMC/P_Hypertensive CKD (H-CKD),TTYH1,4.021859,7.686051,5.774055851953732e-05,0.001922168089951197
VSMC/P_Hypertensive CKD (H-CKD),CD163L1,4.204773,6.565224,2.6134427885800116e-05,0.0009630158337874452
VSMC/P_Normal Reference,PLA2G2A,4.9162717,10.61389,8.820795797108426e-07,2.5693673673091354e-05
VSMC/P_Normal Reference,ITGBL1,3.216277,8.350551,0.0012986545472680336,0.017039047965542918
VSMC/P_Normal Reference,MFAP5,4.4724193,7.9624915,7.733960003938725e-06,0.0001881740709781856
aPT_Acute Kidney Injury (AKI),NSG1,8.590652,4.082887,8.647651335425e-18,2.2460814967756144e-16
aPT_Acute Kidney Injury (AKI),TNFAIP6,3.50603,3.769747,0.00045484394162216687,0.003283330285400851
aPT_Acute Kidney Injury (AKI),CHI3L2,5.1886287,3.7187974,2.118481744344738e-07,2.5288802640825176e-06
aPT_Diabetic Kidney Disease (DKD),SCGN,5.484797,3.9045496,4.1394479011686756e-08,3.9679701926324296e-07
aPT_Diabetic Kidney Disease (DKD),GALNT5,4.123917,3.7833533,3.7248277673017466e-05,0.0002287575182257142
aPT_Diabetic Kidney Disease (DKD),SCEL,3.0323637,3.5288782,0.0024264661420909874,0.010054065194313896
aPT_Hypertensive CKD (H-CKD),HAUS7,2.6471746,1.9754044,0.008116744616051306,0.03527827849487932
aPT_Hypertensive CKD (H-CKD),BLOC1S6,-3.3070548,-0.7201655,0.0009428246558784737,0.005682708171770254
aPT_Hypertensive CKD (H-CKD),NSMCE4A,-2.7246032,-0.8229653,0.006437882195285544,0.028817670961944947
aPT_Normal Reference,CEACAM6,5.440178,29.148396,5.322732256082598e-08,2.9257343912586908e-06
aPT_Normal Reference,KRT13,5.5298004,11.251386,3.20595453500573e-08,1.8546334888695735e-06
aPT_Normal Reference,TFF2,7.3339586,10.883269,2.2345247676801466e-13,2.448358429223048e-11
aTAL_Acute Kidney Injury (AKI),IL11,4.3248425,3.6245558,1.5264103674407345e-05,0.0001704079590371589
aTAL_Acute Kidney Injury (AKI),LRG1,8.105857,2.9508524,5.237505298358495e-16,1.5755368211152964e-14
aTAL_Acute Kidney Injury (AKI),NLGN4Y,4.3476696,2.7254593,1.3759172683297918e-05,0.0001546504837263343
aTAL_Diabetic Kidney Disease (DKD),RAET1L,5.90116,4.8417096,3.6095560321841902e-09,3.5379208858108666e-08
aTAL_Diabetic Kidney Disease (DKD),SERPINA3,4.483544,4.624365,7.3413529645700335e-06,4.722499408973997e-05
aTAL_Diabetic Kidney Disease (DKD),NKX6-2,3.525314,4.0888376,0.0004229809054028031,0.00199606933254118
dATL_Hypertensive CKD (H-CKD),CYP2S1,3.538482,5.7550845,0.00040243466680951805,0.006287329142930572
dATL_Hypertensive CKD (H-CKD),DOK7,4.1727934,4.3371964,3.0088786044226986e-05,0.0006041492294923974
dATL_Hypertensive CKD (H-CKD),LOXL4,3.7166,3.3905864,0.0002019218231099066,0.003374541983185257
dC-IC-A_Diabetic Kidney Disease (DKD),WDR77,3.0776274,1.0869939,0.0020865559730350054,0.020367002108474433
dC-IC-A_Diabetic Kidney Disease (DKD),C1orf50,2.770077,1.0220377,0.0056043046324059514,0.047746251361048646
dC-IC-A_Normal Reference,GJD2,2.776667,6.5982614,0.0054919382780472615,0.04402331337707943
dC-IC-A_Normal Reference,CEP85,3.0039783,3.0288987,0.0026647444630242146,0.023601818597824214
dC-IC-A_Normal Reference,TANGO2,3.5881279,1.9564104,0.00033306110978702355,0.0038779001136004963
dVSMC_Normal Reference,ASB10,3.3547778,11.822223,0.0007942876673711166,0.007458280054855348
dVSMC_Normal Reference,UNC45B,3.5757692,9.711093,0.000349199754646255,0.0035597719905251317
dVSMC_Normal Reference,NPTX1,3.5683315,8.810299,0.00035926187919810065,0.003651098151924186
