Condition,majority_voting,count,total,proportion
Normal Reference,Classical monocytes,15,3818,0.39287585123101104
Normal Reference,DC,73,3818,1.9119958093242535
Normal Reference,DCT,114,3818,2.9858564693556837
Normal Reference,DTL,2,3818,0.05238344683080147
Normal Reference,EC-AEA,93,3818,2.435830277632268
Normal Reference,EC-AVR,38,3818,0.9952854897852279
Normal Reference,EC-DVR,25,3818,0.6547930853850183
Normal Reference,EC-GC,316,3818,8.27658459926663
Normal Reference,EC-LYM,4,3818,0.10476689366160294
Normal Reference,EC-PTC,465,3818,12.17915138816134
Normal Reference,IC-B,69,3818,1.8072289156626504
Normal Reference,M-TAL,0,3818,0.0
Normal Reference,NK cells,26,3818,0.6809848088004191
Normal Reference,Non-classical monocytes,46,3818,1.2048192771084338
Normal Reference,PC,160,3818,4.190675746464118
Normal Reference,PT,639,3818,16.736511262441066
Normal Reference,Podocytes,58,3818,1.5191199580932426
Normal Reference,T cells,14,3818,0.3666841278156103
Normal Reference,VSMC/P,151,3818,3.954950235725511
Normal Reference,aPT,326,3818,8.53850183342064
Normal Reference,aTAL,11,3818,0.2881089575694081
Normal Reference,dATL,0,3818,0.0
Normal Reference,dC-IC-A,152,3818,3.9811419591409116
Normal Reference,dVSMC,238,3818,6.233630172865374
